Friday,INTERVENING DAY,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Districts,Total,Count,cluster_sunday,cluster_monday,cluster_tuesday,cluster_wednesday,cluster_thursday,cluster_friday,cluster_saturday,cluster_inter
0.4807692307692308,0.6129032258064516,0.4090909090909091,0.3333333333333333,0.4583333333333333,0.45901639344262296,0.3529411764705882,0.3829787234042553,New Delhi,0.4629629629629629,166.0,2,2,0,0,2,0,1,2
0.5961538461538461,0.22580645161290322,0.7727272727272727,0.9444444444444444,0.6666666666666666,0.42622950819672134,0.6470588235294118,0.48936170212765956,West,0.6820987654320987,237.0,0,0,2,0,2,0,2,3
0.5,1.0,0.6590909090909091,0.7592592592592592,0.7083333333333333,0.36065573770491804,0.3529411764705882,0.46808510638297873,Outer District,0.6388888888888888,223.0,0,2,0,0,2,0,2,2
0.5384615384615385,0.25806451612903225,0.6590909090909091,0.5185185185185185,0.47916666666666663,0.36065573770491804,0.4117647058823529,0.5531914893617021,South West,0.5216049382716049,185.0,2,2,0,0,2,0,1,3
0.7884615384615385,0.6774193548387096,0.7954545454545455,0.9629629629629629,0.7291666666666666,0.5081967213114754,0.6862745098039216,0.6382978723404256,South-East,0.8148148148148148,280.0,0,0,2,0,1,2,2,2
0.7884615384615385,0.0967741935483871,0.8863636363636364,1.0,0.7083333333333333,0.5737704918032788,0.7450980392156863,0.5744680851063829,North East,0.787037037037037,271.0,0,0,2,0,1,2,2,3
0.5576923076923077,0.3548387096774194,1.0,0.5185185185185185,0.625,0.5901639344262295,1.0,0.8936170212765957,North West,0.787037037037037,271.0,0,0,2,2,1,0,1,0
0.5961538461538461,0.4838709677419355,0.7045454545454546,0.7962962962962963,0.875,0.45901639344262296,0.5098039215686274,0.6170212765957447,South Delhi,0.70679012345679,245.0,0,0,0,0,1,0,2,0
0.5576923076923077,1.0,0.4318181818181818,0.4444444444444444,0.6666666666666666,0.3278688524590164,0.49019607843137253,0.6170212765957447,Rohini,0.595679012345679,209.0,0,2,0,0,2,0,1,2
0.019230769230769232,0.25806451612903225,0.0,0.0,0.020833333333333332,0.01639344262295082,0.0196078431372549,0.0851063829787234,Crime Branch,0.0,16.0,1,1,1,1,0,1,0,1
0.0,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,Eow,0.009259259259259259,19.0,1,1,1,1,0,1,0,4
0.7307692307692308,0.8387096774193548,0.8181818181818182,0.611111111111111,0.9166666666666666,0.5081967213114754,0.5294117647058824,0.7021276595744681,North,0.7777777777777777,268.0,0,0,0,0,1,2,2,2
1.0,0.29032258064516125,0.9090909090909092,0.8703703703703703,1.0,1.0,0.7058823529411764,1.0,Central,1.0,340.0,0,0,2,2,3,2,2,0
0.34615384615384615,0.0967741935483871,0.6136363636363636,0.8148148148148148,0.75,0.5573770491803279,0.6862745098039216,0.6170212765957447,East,0.6481481481481481,226.0,0,2,2,0,1,0,2,3
0.6153846153846154,0.16129032258064516,0.9318181818181819,0.7037037037037037,0.5416666666666666,0.6721311475409837,0.8431372549019608,0.6382978723404256,Metro,0.7407407407407407,256.0,0,0,2,0,1,0,2,3
0.038461538461538464,0.0,0.06818181818181818,0.037037037037037035,0.125,0.0819672131147541,0.09803921568627451,0.19148936170212766,Palam Airport,0.04938271604938271,32.0,1,1,1,1,0,1,0,1
0.6923076923076923,0.03225806451612903,0.5,0.35185185185185186,0.3958333333333333,0.3770491803278689,0.43137254901960786,0.425531914893617,Railways,0.4506172839506173,162.0,2,2,0,0,2,0,1,3
0.6538461538461539,0.29032258064516125,0.6363636363636364,0.7037037037037037,0.8125,0.3770491803278689,0.5098039215686274,0.6595744680851063,Shahdara,0.654320987654321,228.0,0,2,0,0,2,0,2,3
0.0,0.7096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,Special Police Unit For Women & Children,0.018518518518518517,22.0,1,1,1,1,0,1,0,4
